arr_dt,dwell_time_sec
2016-04-04 00:00:15,81
2016-04-04 00:09:33,64
2016-04-04 00:19:14,82
2016-04-04 00:31:14,75
2016-04-04 00:43:48,60
2016-04-04 01:01:59,60
2016-04-04 01:15:00,82
2016-04-04 05:42:05,69
2016-04-04 05:48:46,66
2016-04-04 05:57:14,67
2016-04-04 06:01:57,69
2016-04-04 06:14:13,75
2016-04-04 06:26:56,85
2016-04-04 06:33:59,96
2016-04-04 06:38:06,65
2016-04-04 06:41:00,61
2016-04-04 06:43:52,60
2016-04-04 06:47:30,67
2016-04-04 06:54:50,73
2016-04-04 06:58:31,77
2016-04-04 07:07:55,100
2016-04-04 07:11:47,71
2016-04-04 07:16:59,67
2016-04-04 07:19:57,67
2016-04-04 07:25:25,76
2016-04-04 07:28:28,109
2016-04-04 07:32:39,78
2016-04-04 07:36:05,66
2016-04-04 07:39:44,92
2016-04-04 07:42:57,79
2016-04-04 07:46:15,87
2016-04-04 07:49:15,71
2016-04-04 07:57:43,120
2016-04-04 08:04:03,115
2016-04-04 08:18:06,140
2016-04-04 08:22:18,160
2016-04-04 08:27:17,112
2016-04-04 08:31:55,99
2016-04-04 08:35:31,95
2016-04-04 08:39:23,137
2016-04-04 08:44:04,74
2016-04-04 08:48:15,133
2016-04-04 08:52:32,93
2016-04-04 08:56:29,81
2016-04-04 08:59:41,95
2016-04-04 09:03:11,97
2016-04-04 09:06:45,85
2016-04-04 09:10:36,67
2016-04-04 09:13:32,87
2016-04-04 09:17:08,80
2016-04-04 09:20:19,98
2016-04-04 09:23:55,88
2016-04-04 09:27:39,120
2016-04-04 09:31:29,79
2016-04-04 09:34:43,80
2016-04-04 09:37:46,141
2016-04-04 09:42:14,87
2016-04-04 09:46:14,77
2016-04-04 09:49:37,97
2016-04-04 09:58:56,101
2016-04-04 10:07:40,114
2016-04-04 10:11:27,80
2016-04-04 10:14:43,61
2016-04-04 10:19:41,81
2016-04-04 10:24:08,84
2016-04-04 10:28:01,80
2016-04-04 10:32:02,62
2016-04-04 10:34:51,73
2016-04-04 10:41:35,82
2016-04-04 10:44:57,85
2016-04-04 10:47:52,78
2016-04-04 10:55:01,82
2016-04-04 10:58:15,87
2016-04-04 11:05:00,91
2016-04-04 11:09:53,78
2016-04-04 11:14:46,60
2016-04-04 11:24:47,56
2016-04-04 11:28:45,91
2016-04-04 11:38:35,72
2016-04-04 11:43:50,75
2016-04-04 11:49:28,67
2016-04-04 11:52:16,72
2016-04-04 12:02:31,73
2016-04-04 12:06:06,61
2016-04-04 12:15:25,69
2016-04-04 12:20:57,68
2016-04-04 12:30:09,89
2016-04-04 12:38:03,85
2016-04-04 12:53:21,115
2016-04-04 12:57:47,80
2016-04-04 13:01:15,93
2016-04-04 13:04:28,70
2016-04-04 13:12:00,80
2016-04-04 13:19:03,103
2016-04-04 13:24:34,93
2016-04-04 13:36:00,116
2016-04-04 13:39:34,88
2016-04-04 13:46:08,71
2016-04-04 13:56:24,82
2016-04-04 14:06:13,97
2016-04-04 14:10:35,86
2016-04-04 14:18:25,85
2016-04-04 14:29:59,108
