Reporting Fiscal Year,Reporting Date,Category,Subcategory,Month to Date Actual Amount,Month to Date Budgeted Amount
2015,JUN-2015,Expenses,Debt Service,24729467.69,32739022.51
2015,JUN-2015,Expenses,Operating Expenses,145087793.06,124309483.518
2015,JUN-2015,Revenue,Non-Operating Revenues,142500323.55,121956788.0
2015,JUN-2015,Revenue,Operating Revenues,57387316.447,56642013.861
2016,JUL-2015,Expenses,Debt Service,37354128.82,38206625.0
2016,JUL-2015,Expenses,Operating Expenses,126154664.44,135076774.657
2016,JUL-2015,Revenue,Non-Operating Revenues,75615762.97,80072786.325
2016,JUL-2015,Revenue,Operating Revenues,58522967.296,57740386.203
2016,AUG-2015,Expenses,Debt Service,36070311.73,36943793.0
2016,AUG-2015,Expenses,Operating Expenses,118476759.5,128941022.348
2016,AUG-2015,Revenue,Non-Operating Revenues,86047878.78,84366038.504
2016,AUG-2015,Revenue,Operating Revenues,57208100.218,56724721.235
2016,SEP-2015,Expenses,Debt Service,37353582.3,38206628.0
2016,SEP-2015,Expenses,Operating Expenses,127099480.64,130674389.133
2016,SEP-2015,Revenue,Non-Operating Revenues,86862260.66,90192387.346
2016,SEP-2015,Revenue,Operating Revenues,58957562.29,58794664.622
2016,OCT-2015,Expenses,Debt Service,38209296.55,38206626.0
2016,OCT-2015,Expenses,Operating Expenses,117035362.81,131284053.061
2016,OCT-2015,Revenue,Non-Operating Revenues,119180792.33,116152162.826
2016,OCT-2015,Revenue,Operating Revenues,59396849.713,59617473.593
2016,NOV-2015,Expenses,Debt Service,37809906.15,38206628.0
2016,NOV-2015,Expenses,Operating Expenses,121555974.76,127879027.324
2016,NOV-2015,Revenue,Non-Operating Revenues,88226432.46,80638412.386
2016,NOV-2015,Revenue,Operating Revenues,55957152.836,55574789.217
2016,DEC-2015,Expenses,Debt Service,37825096.07,38206628.0
2016,DEC-2015,Expenses,Operating Expenses,124668045.03,133403799.475
2016,DEC-2015,Revenue,Non-Operating Revenues,78467711.68,98273849.406
2016,DEC-2015,Revenue,Operating Revenues,53835646.952,53310535.391
2016,JAN-2016,Expenses,Debt Service,35234357.94,38206626.0
2016,JAN-2016,Expenses,Operating Expenses,123446863.03,129107161.75
2016,JAN-2016,Revenue,Non-Operating Revenues,120371673.63,117592329.266
2016,JAN-2016,Revenue,Operating Revenues,53195340.94,53658573.895
2016,FEB-2016,Expenses,Debt Service,39446897.48,38206626.0
2016,FEB-2016,Expenses,Operating Expenses,124148673.48,126365026.345
2016,FEB-2016,Revenue,Non-Operating Revenues,104775767.73,92165841.306
2016,FEB-2016,Revenue,Operating Revenues,50443785.779,47177268.575
2016,MAR-2016,Expenses,Debt Service,33957538.9,36929747.0
2016,MAR-2016,Expenses,Operating Expenses,124999764.59,132171623.948
2016,MAR-2016,Revenue,Non-Operating Revenues,81993029.26,85306254.706
2016,MAR-2016,Revenue,Operating Revenues,56522304.704,55454799.087
2016,APR-2016,Expenses,Debt Service,36782443.11,36929746.0
2016,APR-2016,Expenses,Operating Expenses,125894381.7,128080184.913
2016,APR-2016,Revenue,Non-Operating Revenues,117807066.93,111497643.626
2016,APR-2016,Revenue,Operating Revenues,55371997.171,57087807.175
2016,MAY-2016,Expenses,Debt Service,36781780.47,36929748.0
2016,MAY-2016,Expenses,Operating Expenses,126927829.54,132801854.69
2016,MAY-2016,Revenue,Non-Operating Revenues,89795476.32,79527319.446
2016,MAY-2016,Revenue,Operating Revenues,57024350.136,57229812.764
2016,JUN-2016,Expenses,Debt Service,36876982.86,36929747.0
2016,JUN-2016,Expenses,Operating Expenses,143933746.17,133070372.88
2016,JUN-2016,Revenue,Non-Operating Revenues,134510120.76,148114832.686
2016,JUN-2016,Revenue,Operating Revenues,62025828.962,55137016.691
2017,JUL-2016,Expenses,Debt Service,36650186.32,38031989.0
2017,JUL-2016,Expenses,Operating Expenses,127988541.2,129156597.826
2017,JUL-2016,Net Revenue,,-2495446.15,-6069746.143
2017,JUL-2016,Revenue,Non-Operating Revenues,102085579.11,100664812.332
2017,JUL-2016,Revenue,Operating Revenues,60057702.26,60454028.351
2017,AUG-2016,Expenses,Debt Service,36877258.87,36986285.0
2017,AUG-2016,Expenses,Operating Expenses,133154121.43,129255977.946
2017,AUG-2016,Net Revenue,,-5110012.86,-5267712.386
2017,AUG-2016,Revenue,Non-Operating Revenues,104336139.88,100664812.332
2017,AUG-2016,Revenue,Operating Revenues,60585227.56,60309738.228
2017,SEP-2016,Expenses,Debt Service,32408717.22,38146991.0
2017,SEP-2016,Expenses,Operating Expenses,130818443.24,130801304.88
2017,SEP-2016,Net Revenue,,-5840723.37,-5949556.761
2017,SEP-2016,Revenue,Non-Operating Revenues,95535321.0,101439812.332
2017,SEP-2016,Revenue,Operating Revenues,61851116.09,61558926.787
