Survey Date,Question Text,Respondents,Average Rating Out of 7
01-JUL-2015,The mbta is a good value for the money.,489,4.41
01-JUL-2015,The mbta has a fleet of trains and buses that are clean and well maintained.,492,3.34
01-JUL-2015,Wait time at stop,498,5.39
01-JUL-2015,Stop condition &amp; cleanliness,491,4.93
01-JUL-2015,Seat availability / crowdedness,500,4.99
01-JUL-2015,Vehicle cleanliness,500,4.94
01-JUL-2015,Speed/travel time,500,5.04
01-JUL-2015,Parking availability,187,5.27
01-JUL-2015,Mbta website,449,5.05
01-JUL-2015,"Real time arrival signage (""countdown timers"")",456,5.05
01-JUL-2015,In-station delay announcements,453,4.37
01-JUL-2015,On-vehicle delay announcements,456,4.04
01-JUL-2015,T-alerts,439,4.48
01-JUL-2015,Real-time mobile apps (e.g. nextbus),314,5.12
01-JUL-2015,Scheduled service interruptions,418,4.41
01-JUL-2015,The mbta provides reliable public transportation services.,491,3.96
01-JUL-2015,The mbta is a cost-conscious organization.,488,3.17
01-JUL-2015,The positives of the mbta outweigh the negatives.,491,4.68
01-JUL-2015,The mbta uses technology to meet the needs and demands of its riders.,490,4.07
01-JUL-2015,I use the mbta because i consider myself to be an environmentally conscious person.,491,4.66
01-JUL-2015,The mbta is easy to use.,489,5.08
01-JUL-2015,How would you rate the mbta overall?,647,4.55
01-JUL-2015,How would you rate this trip overall?,501,4.99
01-JUL-2015,How likely are you to continue using the mbta in the future?,492,6.17
01-AUG-2015,Mbta website,464,5.13
01-AUG-2015,"Real time arrival signage (""countdown timers"")",476,5.15
01-AUG-2015,In-station delay announcements,471,4.51
01-AUG-2015,On-vehicle delay announcements,478,4.17
01-AUG-2015,T-alerts,456,4.91
01-AUG-2015,Real-time mobile apps (e.g. nextbus),308,5.26
01-AUG-2015,Scheduled service interruptions,434,4.66
01-AUG-2015,How would you rate the mbta overall?,601,4.48
01-AUG-2015,How would you rate this trip overall?,508,4.81
01-AUG-2015,How likely are you to continue using the mbta in the future?,500,6.3
01-AUG-2015,The mbta provides reliable public transportation services.,497,3.93
01-AUG-2015,The mbta is a cost-conscious organization.,498,3.43
01-AUG-2015,The positives of the mbta outweigh the negatives.,497,4.79
01-AUG-2015,The mbta uses technology to meet the needs and demands of its riders.,499,4.13
01-AUG-2015,I use the mbta because i consider myself to be an environmentally conscious person.,498,4.84
01-AUG-2015,The mbta is easy to use.,496,5.16
01-AUG-2015,The mbta is a good value for the money.,497,4.72
01-AUG-2015,The mbta has a fleet of trains and buses that are clean and well maintained.,498,3.69
01-AUG-2015,Wait time at stop,505,5.0
01-AUG-2015,Stop condition &amp; cleanliness,500,4.92
01-AUG-2015,Seat availability / crowdedness,506,4.84
01-AUG-2015,Vehicle cleanliness,504,5.01
01-AUG-2015,Speed/travel time,504,4.95
01-AUG-2015,Parking availability,186,5.01
01-SEP-2015,How would you rate the mbta overall?,717,4.43
