"Survey Date","Question Group","Question Text",Respondents,"Average Rating Out of 7","Response 1 Text","Response 1 Percent","Response 2 Text","Response 2 Percent","Response 3 Text","Response 3 Percent","Response 4 Text","Response 4 Percent","Response 5 Text","Response 5 Percent","Response 6 Text","Response 6 Percent","Response 7 Text","Response 7 Percent"
01-JUL-2015,Perceptions,"The mbta is a good value for the money.",489,4.41,"Strongly Disagree",.0774752572,Disagree,.0804224835,"Slightly Disagree",.1554822344,"Neither Agree nor Disagree",.1400824101,"Slightly Agree",.2147898210,Agree,.2506172392,"Strongly Agree",.0811305545
01-JUL-2015,Perceptions,"The mbta has a fleet of trains and buses that are clean and well maintained.",492,3.34,"Strongly Disagree",.1511204052,Disagree,.2403083459,"Slightly Disagree",.1926754213,"Neither Agree nor Disagree",.1041868968,"Slightly Agree",.1802048721,Agree,.1117337190,"Strongly Agree",.0197703398
01-JUL-2015,Conditions,"Wait time at stop",498,5.39,Unacceptable,.0259037709,"Very Poor",.0298610000,Poor,.0488275137,Fair,.1324938261,Good,.2297418160,"Very Good",.2559816851,Excellent,.2771903882
01-JUL-2015,Conditions,"Stop condition &amp; cleanliness",491,4.93,Unacceptable,.0131722950,"Very Poor",.0346441111,Poor,.0635127296,Fair,.2228963251,Good,.3390779108,"Very Good",.2166269068,Excellent,.1100697216
01-JUL-2015,Conditions,"Seat availability / crowdedness",500,4.99,Unacceptable,.0384088147,"Very Poor",.0499663279,Poor,.0729195601,Fair,.1791207509,Good,.2484802272,"Very Good",.2067321530,Excellent,.2043721662
01-JUL-2015,Conditions,"Vehicle cleanliness",500,4.94,Unacceptable,.0148670792,"Very Poor",.0308515118,Poor,.0490573830,Fair,.2390507000,Good,.3472605868,"Very Good",.2068292354,Excellent,.1120835038
01-JUL-2015,Conditions,"Speed/travel time",500,5.04,Unacceptable,.0318580268,"Very Poor",.0339921712,Poor,.0698836526,Fair,.1827060869,Good,.2702329819,"Very Good",.2342722563,Excellent,.1770548244
01-JUL-2015,Conditions,"Parking availability",187,5.27,Unacceptable,.0560778396,"Very Poor",.0560778396,Poor,.0400983660,Fair,.0950794041,Good,.2212025543,"Very Good",.2251798846,Excellent,.3062841118
01-JUL-2015,Communication,"Mbta website",449,5.05,"Extremely Dissatisfied",.0161126770,"Very Dissatisfied",.0427012680,"Somewhat Dissatisfied",.0572015156,Neutral,.2458540574,"Somewhat Satisfied",.1647013705,"Very Satisfied",.3458595289,"Extremely Satisfied",.1275695826
01-JUL-2015,Communication,"Real time arrival signage (""countdown timers"")",456,5.05,"Extremely Dissatisfied",.0466179495,"Very Dissatisfied",.0713167335,"Somewhat Dissatisfied",.0859494463,Neutral,.0975587387,"Somewhat Satisfied",.1983342101,"Very Satisfied",.2785531291,"Extremely Satisfied",.2216697927
01-JUL-2015,Communication,"In-station delay announcements",453,4.37,"Extremely Dissatisfied",.0659883682,"Very Dissatisfied",.1103078856,"Somewhat Dissatisfied",.1527339501,Neutral,.1393151269,"Somewhat Satisfied",.2065828747,"Very Satisfied",.2357431884,"Extremely Satisfied",.0893286061
01-JUL-2015,Communication,"On-vehicle delay announcements",456,4.04,"Extremely Dissatisfied",.1010400673,"Very Dissatisfied",.1376707444,"Somewhat Dissatisfied",.1677305890,Neutral,.1343863493,"Somewhat Satisfied",.2027182819,"Very Satisfied",.1887057609,"Extremely Satisfied",.0677482073
